family,sigma,stride,class,seed,split,n_frames,L,R,eta,speed_mean,speed_std,speed_max,speed_change_mean_signed,speed_change_mean_abs,speed_change_max_abs,mean_cosine,angle_valid_fraction,efficiency_valid_flag,efficiency_valid_flag_calibrated,angle_valid_fraction_calibrated,n_angles,n_angles_valid,e95
B,0.0,16,ramp,1004,train,9,0.6878903624044863,0.42532941569624044,0.6183098920146559,0.6878903624044863,0.890511124605759,2.670898758897337,0.0,6.104911448908199,11.968819589989423,-0.3341131568472067,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,ramp,1005,test,9,0.6780470257878958,0.4495421084024864,0.6629954727404269,0.6780470257878958,0.9584680428147507,2.9417617069817217,-6.344131569286608e-17,6.724026758815364,15.341441753526265,-0.2164665844848527,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,ramp,1006,test,9,0.7898703911673501,0.482181164364087,0.6104560567860646,0.7898703911673501,0.976786778889516,2.884347434719978,0.0,6.592794136502805,12.25523220949838,-0.5162185785179396,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,ramp,1007,test,9,0.6895526930548905,0.4433665161140324,0.6429769915766815,0.6895526930548905,0.8970576018357307,2.6863390309194948,1.2688263138573217e-16,6.140203499244559,14.274432472302017,-0.3001617307163207,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,ramp,1008,test,9,0.7024656195912113,0.4311185370046576,0.6137219032235914,0.7024656195912113,0.8779987427057863,2.601942606575007,-6.344131569286608e-17,5.9472973864571586,11.297963672157401,-0.48504692478151423,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,ramp,1009,test,9,0.6332404264352129,0.41441985747318905,0.6544431469831127,0.6332404264352129,0.8630190110973196,2.320288683828397,9.516197353929913e-17,5.303516991607765,14.308717597644359,-0.5246100269978599,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,ramp,1010,test,9,0.6468255052541567,0.4384389721097834,0.6778319168745639,0.6468255052541567,0.8427980402277874,2.1379947931387475,0.0,4.886845241459994,14.568378143435044,-0.5218108767309387,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,ramp,1011,test,9,0.7403548443342345,0.4647975101116003,0.6278036993592855,0.7403548443342345,0.975193319197374,2.7847261961259067,6.344131569286608e-17,6.3650884482877865,14.0034976347189,-0.49109415655867694,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,ramp,1012,test,9,0.6997709069457989,0.45227485463704264,0.6463184595813353,0.6997709069457989,0.9000510714747472,2.616476024631231,1.2688263138573217e-16,5.9805166277285275,14.571967560053633,-0.32081733650871225,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,ramp,1013,test,9,0.7456142000157608,0.4606299645069005,0.6177859333917778,0.7456142000157608,0.9903802363513989,2.8678846347737905,0.0,6.55516487948295,15.08956181868888,-0.33493166597735335,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,ramp,1014,test,9,0.6952437896506309,0.44642793892465304,0.6421171185851066,0.6952437896506309,0.9681415111505309,2.7316443950765708,0.0,6.243758617317876,14.988421701241563,-0.4374689605759289,0.5714285714285714,1.0,1.0,0.5714285714285714,7,4,0.0
B,0.0,16,jump,1000,train,9,0.4296154071196063,0.4296154071196063,1.0,0.4296154071196063,1.1366555266402463,3.43692325695685,0.0,7.855824587329943,27.4953860556548,nan,0.0,1.0,1.0,0.0,7,0,0.0
B,0.0,16,jump,1001,train,9,0.4541676538605454,0.4541676538605454,1.0,0.4541676538605454,1.2016146656446673,3.6333412308843633,0.0,8.304779956307117,29.066729847074907,nan,0.0,1.0,1.0,0.0,7,0,0.0
B,0.0,16,jump,1002,train,9,0.4445975976880895,0.4445975976880895,1.0,0.4445975976880895,1.17629467697943,3.556780781504716,0.0,8.12978464343935,28.454246252037727,nan,0.0,1.0,1.0,0.0,7,0,0.0
B,0.0,16,jump,1003,train,9,0.424399012045758,0.424399012045758,1.0,0.424399012045758,1.122854242534581,3.395192096366064,0.0,7.7604390774081455,27.16153677092851,nan,0.0,1.0,1.0,0.0,7,0,0.0
