family,sigma,role,seed,n_frames,degree,L,R,eta,angle_valid_fraction,adjacent_mean,adjacent_p95,adjacent_max,n_above_e95,spearman_rho,spearman_p,runs_z,runs_p,cluster_p,max_run,h1_card_mean
B,0.05,evaluation,1007,129,0,4.022662963054552,0.023740513415107578,0.005901690903053075,1.0,0.03142705439886369,0.05139106406169422,0.08239723674264535,4,0.02453770067792008,0.7833696532860538,0.3895284040205915,0.6968853031647788,1.0,1,170.1627906976744
B,0.05,evaluation,1008,129,0,4.096507286738916,0.0314930614009643,0.00768778356697,1.0,0.03200396317764778,0.05417524894696701,0.09087009659348566,7,-0.05246894152336824,0.5563977725474679,-4.635793490527758,3.555708203525826e-06,0.28385807096451776,2,171.3798449612403
B,0.05,evaluation,1009,129,0,4.052582922801724,0.03510303158244479,0.008661891009049743,1.0,0.03166080408438847,0.0563015129204307,0.07070804707193032,8,-0.0636874881081957,0.4751042441304123,-3.888321954140066,0.00010093967555974937,0.3708145927036482,2,171.50387596899225
B,0.05,evaluation,1010,129,0,3.7429459792100785,0.04129918347905795,0.011033871102722631,1.0,0.02924176546257874,0.04789087809182491,0.07191396878635842,3,0.012346085232349362,0.8899914365783287,0.2969945921752625,0.7664706377919448,1.0,1,170.84496124031008
B,0.05,evaluation,1011,129,0,3.9536668803396875,0.03206298423185465,0.008109682783669395,1.0,0.03088802250265381,0.05091467913496224,0.09468206780331123,6,0.12918039447400728,0.14614912540208602,-5.6083787183493845,2.0423073895790047e-08,0.010494752623688156,3,168.03875968992247
B,0.05,evaluation,1012,129,0,3.8656273532503107,0.07689953917295655,0.01989315889652364,1.0,0.030200213697268052,0.05343471200689057,0.07928720338239284,6,-0.061507252431011405,0.4903815082815139,-0.4512488623959275,0.6518101966644788,1.0,1,170.32558139534885
B,0.05,evaluation,1013,129,0,3.7927812842546595,0.020719740110386686,0.005462940928442816,1.0,0.029631103783239528,0.04513436787755534,0.06503729399172634,2,-0.08229149231329706,0.355769466682866,-6.420137812953743,1.3615103171491147e-10,0.013993003498250875,2,168.69767441860466
B,0.05,evaluation,1014,129,0,3.9378661068918603,0.027359610510685056,0.006947826505020474,1.0,0.03076457896009266,0.05189972514461458,0.09340484180260017,3,0.07224565238657696,0.41770583913787973,-3.9269284965395816,8.603754517887674e-05,0.05247376311844078,2,168.30232558139534
B,0.05,evaluation,1015,129,0,4.162757176938768,0.022358151575734037,0.005370995862933303,1.0,0.03252154044483412,0.05361401687410375,0.06984677242349349,6,-0.003015719509522856,0.9730491186771787,-1.482674833586619,0.13816082413481598,0.22038980509745126,2,169.90697674418604
B,0.05,evaluation,1016,129,0,4.319475989828312,0.023053706207447955,0.005337153456052496,1.0,0.03374590617053369,0.05974769040814783,0.07986647604898725,9,0.004334732941864373,0.9612691193587658,-3.288024298283443,0.0010089313121727837,0.4387806096951524,2,171.9922480620155
B,0.05,evaluation,1017,129,0,4.585455405293316,0.03794942856516373,0.008276043535688084,1.0,0.03582387035385403,0.05970928540513161,0.12553605227891626,9,-0.08593893059879143,0.33477729862075134,-3.288024298283443,0.0010089313121727837,0.4387806096951524,2,168.08527131782947
B,0.05,evaluation,1018,129,0,4.1224132271508465,0.020984855647308703,0.005090429923205957,1.0,0.03220635333711599,0.06282532901011384,0.1049977371368715,11,-0.08880012818165171,0.31887419003308964,-3.512174746717393,0.0004444556575075934,0.0004997501249375312,5,170.7751937984496
B,0.05,evaluation,1019,129,0,4.025044064116781,0.029677738995207398,0.007373270583491019,1.0,0.03144565675091235,0.052014883052003254,0.09497688909363936,5,0.04477507314008948,0.6157698216412901,0.4839812220757866,0.6283991957891302,1.0,1,169.64341085271317
