run_id,family,config,z_value,seed,sigma,interval,u_mid,distance,above_e_static_05,above_e_loo
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,78,0.61328125,0.028603829489843,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,79,0.62109375,0.0410046945064682,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,80,0.62890625,0.0333680514927589,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,81,0.63671875,0.0394736884719172,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,82,0.64453125,0.0207933100115812,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,83,0.65234375,0.0192377231546748,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,84,0.66015625,0.0410554103435942,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,85,0.66796875,0.0483950292265717,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,86,0.67578125,0.030644009243897,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,87,0.68359375,0.0469241232397562,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,88,0.69140625,0.0469241232397562,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,89,0.69921875,0.0286955673376388,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,90,0.70703125,0.0460867539535751,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,91,0.71484375,0.0453898420976168,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,92,0.72265625,0.02588468558594,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,93,0.73046875,0.0251780384791485,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,94,0.73828125,0.0425026977021658,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,95,0.74609375,0.0357025925446971,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,96,0.75390625,0.0158950907690621,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,97,0.76171875,0.0176445290770706,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,98,0.76953125,0.0241433340569704,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,99,0.77734375,0.0414401542579946,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,100,0.78515625,0.0331775196488187,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,101,0.79296875,0.029225177887895,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,102,0.80078125,0.049207651039563,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,103,0.80859375,0.0267980771482521,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,104,0.81640625,0.0335658850901405,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,105,0.82421875,0.0530078482669983,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,106,0.83203125,0.0530078482669983,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,107,0.83984375,0.0305534336182905,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,108,0.84765625,0.0267007953085114,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,109,0.85546875,0.032740646376523,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,110,0.86328125,0.0375741388988771,false,false
