family,seed,sigma,warp,L_master,L_resampled,L_resampled_over_master,R_master,R_resampled,eta_master,eta_resampled,n_master_states,n_resampled_states,n_duplicate_frames_dropped,n_preserved_angle_triples,max_preserved_angle_deviation,fresh_step_checks,fresh_step_max_deviation,fresh_step_all_exact,exact_same_states_invariance,exact_resampled_shortcut_checks,kept_z_first,kept_z_last
B,1007,0.0,u_pow_1p5,1.0290720284306185,1.018031722064858,0.9892715902670123,0.4433665161140324,0.4433665161140324,0.4308410916485471,0.43551345847530065,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1007,0.0,piecewise_fast_slow,1.0290720284306185,0.9741518802236366,0.9466313856662322,0.4433665161140324,0.4433665161140324,0.4308410916485471,0.4551307913220354,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1008,0.0,u_pow_1p5,0.9825340755371528,0.9820761940120228,0.99953397898706,0.4311185370046576,0.4311185370046576,0.43878227507678497,0.4389868521743026,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1008,0.0,piecewise_fast_slow,0.9825340755371528,0.9322010977891106,0.9487722828131686,0.4311185370046576,0.4311185370046576,0.43878227507678497,0.46247374952371956,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1009,0.0,u_pow_1p5,1.0395309843934162,1.0390823104175932,0.9995683880686974,0.41441985747318905,0.41441985747318905,0.39866041868392216,0.3988325595752268,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1009,0.0,piecewise_fast_slow,1.0395309843934162,1.0047830172427266,0.9665734185201169,0.41441985747318905,0.41441985747318905,0.39866041868392216,0.4124471158065734,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1000,0.05,u_pow_1p5,5.902306318306339,5.22093169732779,0.8845579025837365,0.43599576179111904,0.43599576179111904,0.07386871136099009,0.08350918706986209,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1000,0.05,piecewise_fast_slow,5.902306318306339,4.661857795080386,0.7898366407418349,0.43599576179111904,0.43599576179111904,0.07386871136099009,0.09352403718775404,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1001,0.05,u_pow_1p5,6.156825826346192,4.926528849146897,0.8001734965548923,0.44080283166785517,0.44080283166785517,0.07159579369316875,0.0894753375379476,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1001,0.05,piecewise_fast_slow,6.156825826346192,4.9866900950364546,0.8099449676970703,0.44080283166785517,0.44080283166785517,0.07159579369316875,0.08839587447124739,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1002,0.05,u_pow_1p5,5.388846545466992,4.447582890378383,0.8253311451445238,0.4268710389790922,0.4268710389790922,0.07921380491678112,0.09597820872603807,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1002,0.05,piecewise_fast_slow,5.388846545466992,4.3298838030317,0.803489905771009,0.4268710389790922,0.4268710389790922,0.07921380491678112,0.09858718118029065,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1003,0.05,u_pow_1p5,5.807083715742571,4.8772078757295425,0.8398721483053181,0.45122848282274025,0.45122848282274025,0.07770311311329875,0.09251778770148168,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1003,0.05,piecewise_fast_slow,5.807083715742571,4.64971884606467,0.8006977466950629,0.45122848282274025,0.45122848282274025,0.07770311311329875,0.09704425100985223,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1004,0.05,u_pow_1p5,6.577695380307441,5.537309837059425,0.8418312975753236,0.4093275726353761,0.4093275726353761,0.062229633476314036,0.07392173901772282,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1004,0.05,piecewise_fast_slow,6.577695380307441,5.304317448611984,0.8064097137262171,0.4093275726353761,0.4093275726353761,0.062229633476314036,0.07716875481170297,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1005,0.05,u_pow_1p5,5.668184608450446,4.812373663881465,0.8490149838639536,0.45291711178298943,0.45291711178298943,0.07990514478088016,0.09411511728241087,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1005,0.05,piecewise_fast_slow,5.668184608450446,4.4147575261098035,0.7788662210345155,0.45291711178298943,0.45291711178298943,0.07990514478088016,0.10259161666396002,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1006,0.05,u_pow_1p5,5.366582739531153,4.606014452417723,0.8582769848099134,0.4452524931871736,0.4452524931871736,0.0829676005751982,0.09666762833396192,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1006,0.05,piecewise_fast_slow,5.366582739531153,4.310363742651159,0.8031859288966688,0.4452524931871736,0.4452524931871736,0.0829676005751982,0.1032981251167712,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1007,0.05,u_pow_1p5,6.022708322246005,5.023454892679129,0.8340857009667983,0.44437739014754385,0.44437739014754385,0.07378364788249042,0.08846051166800599,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1007,0.05,piecewise_fast_slow,6.022708322246005,4.836801796440444,0.8030941459633381,0.44437739014754385,0.44437739014754385,0.07378364788249042,0.09187421954618345,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1008,0.05,u_pow_1p5,6.0085034480983035,4.883145384385992,0.8127057638506493,0.42529973033622814,0.42529973033622814,0.07078297183483116,0.08709544706494653,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1008,0.05,piecewise_fast_slow,6.0085034480983035,4.858874996977136,0.8086664240019658,0.42529973033622814,0.42529973033622814,0.07078297183483116,0.08753049432241433,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
B,1009,0.05,u_pow_1p5,6.595072266109217,5.635170013877915,0.8544515945391453,0.4194995329671971,0.4194995329671971,0.06360802672670061,0.07444310143865794,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
B,1009,0.05,piecewise_fast_slow,6.595072266109217,5.105002769877333,0.7740632041457591,0.4194995329671971,0.4194995329671971,0.06360802672670061,0.08217420281189723,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
